Date de la mesure,Province,Nature de la mesure,Description de la mesure,Pour en savoir plus
01-Oct-20,NUNAVUT,Sanitaire ,"Fermeture des frontières du Nunavut à la majorité des non-résidents du Nunavut. Des exemptions sont toutefois accordées aux personnes qui arrivent de Churchill, au Manitoba.","<a href=\""https://ici.radio-canada.ca/nouvelle/1738089/nunavut-covid-restrictions-sanitaires \""> Gouvernement du Nunavut</a>"
03-Oct-20,NUNAVUT,Sanitaire ,"Reprise de presque toutes les activités, tout en maintenant certaines mesures comme la limite de rassemblements à 50 personnes.
","<a href=\""https://ici.radio-canada.ca/nouvelle/1737370/mesures-plan-provinces-canada-deconfinement-pandemie-covid-coronavirus\""> Gouvernement du Nunavut</a>"
15-Oct-20,NUNAVUT,Sanitaire ,Prolongement de l’urgence de santé publique.,"<a href=\""https://www.gov.nu.ca/fr/sante/news/le-nunavut-prolonge-lurgence-de-sante-publique-2 \""> Gouvernement du Nunavut</a>"
29-Oct-20,NUNAVUT,Sanitaire ,Prolongement de l’urgence de santé publique.,"<a href=\""https://www.gov.nu.ca/fr/sante/news/le-nunavut-prolonge-lurgence-de-sante-publique-3 \""> Gouvernement du Nunavut</a>"
06-Nov-20,NUNAVUT,Sanitaire ,ARRÊTÉ LIMITANT LES DÉPLACEMENTS ET LES RASSEMBLEMENTS DANS LA COLLECTIVITÉ ,à confirmer
11-Nov-20,NUNAVUT,Sanitaire ,"Modification, fermeture, annulation et suspension de services.
","<a href=\""https://www.gov.nu.ca/fr/executif-et-des-affaires-intergouvernementales/news/covid-19-mise-jour-du-gn-11-novembre-2020 \""> Gouvernement du Nunavut</a>"
12-Nov-20,NUNAVUT,Sanitaire ,Prolongement de l’urgence de santé publique.,"<a href=\""https://www.gov.nu.ca/fr/sante/news/le-nunavut-prolonge-lurgence-de-sante-publique-4 \""> Gouvernement du Nunavut</a>"
16-Nov-20,NUNAVUT,Économique ,"Indication sur les services qui sont en cours et les restrictions qui s'appliquent.
","<a href=\""https://www.gov.nu.ca/fr/developpement-economique-et-des-transports/news/covid-19-mise-jour-du-ministere-du-developpement \""> Gouvernement du Nunavut</a>"
16-Nov-20,NUNAVUT,Sanitaire ,Prolongement de l’urgence sanitaire.,"<a href=\""https://www.gov.nu.ca/fr/sante/news/le-nunavut-prolonge-lurgence-de-sante-publique-5 \""> Gouvernement du Nunavut</a>"
26-Nov-20,NUNAVUT,Sanitaire ,Prolongement de l’urgence sanitaire.,"<a href=\""https://www.gov.nu.ca/fr/sante/news/le-nunavut-prolonge-lurgence-de-sante-publique-5\""> Gouvernement du Nunavut</a>"
27-Nov-20,NUNAVUT,Économique,"Indication sur les services qui sont en cours et les restrictions qui s'appliquent.
",À confirmer
30-Nov-20,NUNAVUT,Économique - sanitaire - sécuritaire,Directives relatives aux demandes d’entrée dans le territoire concernant les projets de construction ou de voyage.,"<a href=\""https://www.gov.nu.ca/fr/services-communautaires-et-gouvernementaux/news/covid-19-mise-jour-du-ministere-des-services \""> Gouvernement du Nunavut</a>"
04-Dec-20,NUNAVUT,Éducative - financière,Déploiement d'iPad avec accès à Internet pour les élèves et le personnel enseignant des 11e et 12e années pour faciliter l'apprentissage en ligne. ,"<a href=\""https://www.gov.nu.ca/fr/education/news/covid-19-mise-jour-des-services-du-ministere-de-leducation\""> Gouvernement du Nunavut</a>"
07-Dec-20,NUNAVUT,Économique,Directives concernant les modifications qui portent sur les projets de construction ou de voyage dans le territoire.,"<a href=\""https://www.gov.nu.ca/fr/services-communautaires-et-gouvernementaux/news/covid-19-mise-jour-du-ministere-des-services \""> Gouvernement du Nunavut</a>"
10-Dec-20,NUNAVUT,Sanitaire ,Prolongement de l’état d’urgence.,"<a href=\""https://www.gov.nu.ca/fr/sante/news/le-nunavut-prolonge-lurgence-de-sante-publique-6\""> Gouvernement du Nunavut</a>"
12-Mar-20,TERRE-NEUVE-ET-LABRADOR,Santitaire,Recommandations de restrictions de visites pour les gens ayant voyagé en dehors de la province dans les 14 derniers jours ou présentant des symptômes s'assimilant à la Covid-19. ,"<a href=\""https://www.gov.nl.ca/releases/2020/health/0312n02/ \""> Gouvernement de Terre-Neuve-et-Labrador</a>"
13-Mar-20,TERRE-NEUVE-ET-LABRADOR,Santitaire,Fermeture temporaire des piscines et les centres de formation. ,"<a href=\""https://www.gov.nl.ca/releases/2020/cssd/0313n05/ \""> Gouvernement de Terre-Neuve-et-Labrador</a>"
15-Mar-20,TERRE-NEUVE-ET-LABRADOR,Santitaire,Restrictions COVID-19 imposées aux établissements des autorités sanitaires régionales.,"<a href=\""https://www.gov.nl.ca/releases/2020/health/0315n03/ \""> Gouvernement de Terre-Neuve-et-Labrador</a>"
24-Mar-20,TERRE-NEUVE-ET-LABRADOR,Économique (soutien aux familles),Soutien de plus de 120 millions de dollars accordé aux organisations communautaires pour supporter les familles et les communautés. ,"<a href=\""https://www.gov.nl.ca/releases/2020/exec/0324n04/\""> Gouvernement de Terre-Neuve-et-Labrador</a>"
25-Mar-20,TERRE-NEUVE-ET-LABRADOR,Économique (soutien aux familles),Plan de soutien aux familles expérimentant de l'insécurité alimentaire due à la Covid-19. ,"<a href=\""https://www.gov.nl.ca/releases/2020/exec/0325n04/ \""> Gouvernement de Terre-Neuve-et-Labrador</a>"
02-Apr-20,TERRE-NEUVE-ET-LABRADOR,Éducative,Annulation des examens officiels pour l'année scolaire. ," <a href=\""https://www.gov.nl.ca/releases/2020/exec/0402n02/\""> Gouvernement de Terre-Neuve-et-Labrador</a>"
03-Apr-20,TERRE-NEUVE-ET-LABRADOR,Économique (sanitaire),Recommandations de transiter vers les paiements électroniques.  ,"<a href=\""https://www.gov.nl.ca/releases/2020/fin/0403n04/ \""> Gouvernement de Terre-Neuve-et-Labrador</a>"
03-Apr-20,TERRE-NEUVE-ET-LABRADOR,Économique,Prolongation de la date d'expiration de la validation annuelle pour tous les permis d'aquaculture existants.,"<a href=\""https://www.gov.nl.ca/releases/2020/flr/0403n01/ \""> Gouvernement de Terre-Neuve-et-Labrador</a>"
06-Apr-20,TERRE-NEUVE-ET-LABRADOR,Économique,Modification des règles de fermeture des magasins afin de permettre à certains magasins d'ouvrir leurs portes le vendredi saint.,"<a href=\""https://www.gov.nl.ca/releases/2020/aesl/0406n03/ \""> Gouvernement de Terre-Neuve-et-Labrador</a>"
07-Apr-20,TERRE-NEUVE-ET-LABRADOR,Économique,Modifications apportées aux délais de production des déclarations d'impôt et remise des intérêts et des pénalités.,"<a href=\""https://www.gov.nl.ca/releases/2020/fin/0407n05/ \""> Gouvernement de Terre-Neuve-et-Labrador</a>"
18-Apr-20,TERRE-NEUVE-ET-LABRADOR,Sanitaire ,Déclaration d'état d'urgence.,"<a href=\""https://www.gov.nl.ca/covid-19/files/Special-Measures-Order-Amendment-No.-7-April-24-2020.pdf \""> Gouvernement de Terre-Neuve-et-Labrador</a>"
24-Apr-20,TERRE-NEUVE-ET-LABRADOR,Économique,Modifications apportées aux règlements sur les coopératives de crédit.,"<a href=\""https://www.gov.nl.ca/releases/2020/servicenl/0424n02/ \""> Gouvernement de Terre-Neuve-et-Labrador</a>"
29-Apr-20,TERRE-NEUVE-ET-LABRADOR,Économique,Compensations accordées aux emplyés du secteur privé qui doivent s'isoler à cause des restrictions de la Covid-19. ,"<a href=\""https://www.gov.nl.ca/releases/2020/exec/0429n03/\""> Gouvernement de Terre-Neuve-et-Labrador</a>"
01-May-20,TERRE-NEUVE-ET-LABRADOR,Éducative,Informations sur la réouverture des services de garde d'enfants réglementés.,"<a href=\""https://www.gov.nl.ca/releases/2020/eecd/0501n05/\""> Gouvernement de Terre-Neuve-et-Labrador</a>"
01-May-20,TERRE-NEUVE-ET-LABRADOR,Finance,Initiatives de soutien aux entreprises pendant la pandémie COVID-19 et préparation du terrain pour une future reprise économique.,"<a href=\""https://www.gov.nl.ca/releases/2020/fin/0501n02/\""> Gouvernement de Terre-Neuve-et-Labrador</a>"
03-May-20,TERRE-NEUVE-ET-LABRADOR,Déconfinement ,Plan de déconfinement.,"<a href=\""https://www.journaldemontreal.com/2020/05/03/dix-provinces-dix-plans-de-relance-1 \""> Journal de Montréal</a>"
06-May-20,TERRE-NEUVE-ET-LABRADOR,Économique,Soutien pour les entreprises affectées par la Covid-19. ,"<a href=\""https://www.gov.nl.ca/releases/2020/tcii/0506n03/\""> Gouvernement de Terre-Neuve-et-Labrador</a>"
11-May-20,TERRE-NEUVE-ET-LABRADOR,Déconfinement ,Présentation de la première phase de déconfinement.,"<a href=\""https://ici.radio-canada.ca/nouvelle/1701235/covid-terre-neuve-covid19-deconfinement-traversier-reouverture\""> Ici Radio Canada</a>"
14-May-20,TERRE-NEUVE-ET-LABRADOR,Économique,Mesures financières pour les consommateurs d'électricité. ,"<a href=\""https://www.gov.nl.ca/releases/2020/exec/0514n04/\""> Gouvernement de Terre-Neuve-et-Labrador</a>"
15-May-20,TERRE-NEUVE-ET-LABRADOR,Économique,Offre d'une subvention de 3 500 dollars aux organisations leur permettant d'embaucher des étudiants pour aider les personnes âgées et d'autres groupes vulnérables confrontés à l'isolement social pendant la pandémie COVID-19.,"<a href=\""https://www.gov.nl.ca/releases/2020/aesl/0515n04/ \""> Gouvernement de Terre-Neuve-et-Labrador</a>"
15-May-20,TERRE-NEUVE-ET-LABRADOR,Santitaire,Directives pour toutes les personnes arrivant de l'extérieur de la province. ,"<a href=\""https://www.cfib-fcei.ca/en/advocacy/employment-and-labour/newfoundland-and-labrador-covid-19-relief-measures-your-business \""> Fédération canadienne de l'entreprise indépendante</a>"
15-May-20,TERRE-NEUVE-ET-LABRADOR,Économique,Programme d'aide aux petites entreprises ,"<a href=\""https://www.cfib-fcei.ca/en/advocacy/employment-and-labour/newfoundland-and-labrador-covid-19-relief-measures-your-business\""> Fédération canadienne de l'entreprise indépendante</a>"
22-May-20,TERRE-NEUVE-ET-LABRADOR,Économique,"Report ou suppression d'un certain nombre de frais, ainsi que des mesures visant à alléger certaines des pressions opérationnelles auxquelles sont confrontées les entreprises.","<a href=\""https://www.gov.nl.ca/releases/2020/servicenl/0522n02/ \""> Gouvernement de Terre-Neuve-et-Labrador</a>"
25-May-20,TERRE-NEUVE-ET-LABRADOR,Tourisme - économique,Programme de soutien aux opérateurs touristiques et hôteliers admissibles touchés par la pandémie COVID-19,"<a href=\""https://www.gov.nl.ca/releases/2020/exec/0525n04/\""> Gouvernement de Terre-Neuve-et-Labrador</a>"
25-May-20,TERRE-NEUVE-ET-LABRADOR,Éducative (réouverture des écoles),Réouverture des écoles.,"<a href=\""https://www.gov.nl.ca/releases/2020/eecd/0525n08/ \""> Gouvernement de Terre-Neuve-et-Labrador</a>"
26-May-20,TERRE-NEUVE-ET-LABRADOR,Économique,Initiative de soutien à l'industrie pétrolière et gazière offshore.,"<a href=\""https://www.gov.nl.ca/releases/2020/exec/0526n03/ \""> Gouvernement de Terre-Neuve-et-Labrador</a>"
27-May-20,TERRE-NEUVE-ET-LABRADOR,Sanitaire (famille),Rétablissement des visites familiales en personne lorsqu'elles sont dans le meilleur intérêt des enfants et des jeunes pris en charge.,"<a href=\""https://www.gov.nl.ca/releases/2020/cssd/0527n01/ \""> Gouvernement de Terre-Neuve-et-Labrador</a>"
29-May-20,TERRE-NEUVE-ET-LABRADOR,Éducative (soutien aux étudiants),Annonce d'améliorations au Programme provincial de prêts aux étudiants pour l'année scolaire 2020-21.,"<a href=\""https://www.gov.nl.ca/releases/2020/aesl/0529n06/ \""> Gouvernement de Terre-Neuve-et-Labrador</a>"
01-Jun-20,TERRE-NEUVE-ET-LABRADOR,Économique,Financement pour le programme de soutien aux jardins communautaires 2020-21.,"<a href=\""https://www.gov.nl.ca/releases/2020/flr/0601n08/ \""> Gouvernement de Terre-Neuve-et-Labrador</a>"
07-Jun-20,TERRE-NEUVE-ET-LABRADOR,Santitaire,Mesures sanitaires et entrée de l'alerte 3.,"<a href=\""https://www.gov.nl.ca/releases/2020/health/0607n02/ \""> Gouvernement de Terre-Neuve-et-Labrador</a>"
08-Jun-20,TERRE-NEUVE-ET-LABRADOR,Économique,"Measures d'assistance aux industries des mines, de l'exploration minérale et des carrières.","<a href=\""https://www.gov.nl.ca/releases/2020/nr/0608n02/ \""> Gouvernement de Terre-Neuve-et-Labrador</a>"
08-Jun-20,TERRE-NEUVE-ET-LABRADOR,Économique,"Report de paiement de la prime d'indemnisation des travailleurs jusqu'au 31 août 2020, sans intérêt ni pénalité.","<a href=\""https://www.cfib-fcei.ca/en/advocacy/employment-and-labour/newfoundland-and-labrador-covid-19-relief-measures-your-business\""> Fédération canadienne de l'entreprise indépendante</a>"
08-Jun-20,TERRE-NEUVE-ET-LABRADOR,Tourisme,Publication des critères d'éligibilité pour le nouveau programme de soutien au tourisme et à l'hôtellerie.,"<a href=\""https://www.cfib-fcei.ca/en/advocacy/employment-and-labour/newfoundland-and-labrador-covid-19-relief-measures-your-business \""> Fédération canadienne de l'entreprise indépendante</a>"
08-Jun-20,TERRE-NEUVE-ET-LABRADOR,Santitaire,Assouplissement des restrictions en matière de santé publique.,"<a href=\""https://www.pwc.com/ca/fr/services/tax/government-economic-response-to-covid-19/june-8-update.html \""> PwC</a>"
08-Jun-20,TERRE-NEUVE-ET-LABRADOR,Économique,"Soutien aux industries des mines, de l’exploration minière et de l’exploitation en carrière.","<a href=\""https://www.pwc.com/ca/fr/services/tax/government-economic-response-to-covid-19/june-8-update.html \""> PwC</a>"
12-Jun-20,TERRE-NEUVE-ET-LABRADOR,Économique,Extension de la période pendant laquelle un employé peut rester temporairement licencié à 26 semaines sur une période de 33 semaines consécutives.,"<a href=\""https://www.gov.nl.ca/releases/2020/aesl/0612n04/ \""> Gouvernement de Terre-Neuve-et-Labrador</a>"
24-Jun-20,TERRE-NEUVE-ET-LABRADOR,Santitaire,Changement au niveau d’alerte 2 et présentation des mesures adoptées.,"<a href=\""https://www.stikeman.com/fr-ca/savoir/guides/Le-retour-au-travail-et-les-plans-de-reouverture#nl \""> Gouvernement de Terre-Neuve-et-Labrador</a>"
25-Jun-20,TERRE-NEUVE-ET-LABRADOR,Sanitaire , Allègement des mesures de voyage et sanitaire.,"<a href=\""https://www.gov.nl.ca/releases/2020/exec/0625n05/ \""> Gouvernement de Terre-Neuve-et-Labrador</a>"
25-Jun-20,TERRE-NEUVE-ET-LABRADOR,Santitaire,Mesures pour toutes les personnes qui traversent la frontière entre le Labrador et le Québec.,"<a href=\""https://www.gov.nl.ca/covid-19/files/Special-Measures-Order-Labrador-Quebec-Border-Amendments-June-26-2020.pdf\""> Gouvernement de Terre-Neuve-et-Labrador</a>"
25-Jun-20,TERRE-NEUVE-ET-LABRADOR,Déconfinement ,Mesures et restrictions relatives au déconfinement.,"<a href=\""https://www.cfib-fcei.ca/en/advocacy/employment-and-labour/newfoundland-and-labrador-covid-19-relief-measures-your-business\""> Gouvernement de Terre-Neuve-et-Labrador</a>"
29-Jun-20,TERRE-NEUVE-ET-LABRADOR,Économique,Programmes de financement et de soutien financier pour Les entreprises en démarrage et les petites entreprises.,"<a href=\""https://www.mondaq.com/canada/financial-services/959538/terre-neuve-et-labrador-covid-19-programmes-de-financement-et-de-soutien-financier-pour-les-entreprises-en-dmarrage-et-les-petites-entreprises \""> MONDAQ</a>"
06-Jul-20,TERRE-NEUVE-ET-LABRADOR,"Économique-Éducative
",Investissement de 20 millions de dollars pour faciliter l'apprentissage numérique.,"<a href=\""https://www.gov.nl.ca/releases/2020/eecd/0706n02/ \""> Gouvernement de Terre-Neuve-et-Labrador</a>"
08-Jul-20,TERRE-NEUVE-ET-LABRADOR,Santitaire,"Allègement pour la réouverture des entreprises titulaires d'une licence en vertu de la loi sur la réglementation des alcool.
","<a href=\""https://www.gov.nl.ca/covid-19/files/Special-Measures-Order-General-Alert-Level-2-Bar-Establishments-Amendment-July-8-2020.pdf\""> Gouvernement de Terre-Neuve-et-Labrador</a>"
17-Jul-20,TERRE-NEUVE-ET-LABRADOR,Économique,Report au 20 août 2020 de la date limite à laquelle les employeurs doivent soumettre leurs demandes dans le cadre du programme de soutien aux travailleurs essentiels COVID-19.,"<a href=\""https://www.gov.nl.ca/releases/2020/aesl/0717n02/ \""> Gouvernement de Terre-Neuve-et-Labrador</a>"
24-Aug-20,TERRE-NEUVE-ET-LABRADOR,Santitaire,Mesure sur le port du masque,"<a href=\""https://www.gov.nl.ca/covid-19/files/Mandatory-Masking-045993-003.pdf\""> Gouvernement de Terre-Neuve-et-Labrador</a>"
24-Aug-20,TERRE-NEUVE-ET-LABRADOR,Santitaire,Mesure concernant les rassemblements,"<a href=\""https://www.gov.nl.ca/covid-19/files/GatheringsAmendment045993.pdf\""> Gouvernement de Terre-Neuve-et-Labrador</a>"
26-Aug-20,TERRE-NEUVE-ET-LABRADOR,Éducative,Augmentation des postes d'administrateurs scolaires et de conseillers d'orientation pour la nouvelle année scolaire. ,"<a href=\""https://www.gov.nl.ca/releases/2020/education/0826n02/ \""> Gouvernement de Terre-Neuve-et-Labrador</a>"
27-Aug-20,TERRE-NEUVE-ET-LABRADOR,Tourisme ,Changements dans les restrictions de voyage pour les habitants de la province.,"<a href=\""https://www.gov.nl.ca/releases/2020/health/0827n02/ \""> Gouvernement de Terre-Neuve-et-Labrador</a>"
03-Sep-20,TERRE-NEUVE-ET-LABRADOR,Éducative,Plan de retour en classe durant la pandémie de COVID-19 – Renseignements destinés aux parents ,"<a href=\""https://www.gov.nl.ca/education/files/Plan-de-retour-pandemie-Renseignements-destines-aux-parents.pdf\""> Gouvernement de Terre-Neuve-et-Labrador</a>"
03-Sep-20,TERRE-NEUVE-ET-LABRADOR,Santitaire,Mesure d’auto-isolation,"<a href=\""https://www.gov.nl.ca/covid-19/files/Self-Isolation-Exemption-Order-Rotational-Workers-September-3-2020.pdf\""> Gouvernement de Terre-Neuve-et-Labrador</a>"
09-Sep-20,TERRE-NEUVE-ET-LABRADOR,Santitaire,Prolongement de l’urgence sanitaire,"<a href=\""https://www.gov.nl.ca/covid-19/files/Repeal-one-worker-one-home.pdf \""> Gouvernement de Terre-Neuve-et-Labrador</a>"
23-Sep-20,TERRE-NEUVE-ET-LABRADOR,Santitaire,Révision de l'ordonnance d'exemption d'auto-isolement.,"<a href=\""https://www.gov.nl.ca/covid-19/files/Self-Isolation-Exemption-Order-September-23.pdf \""> Gouvernement de Terre-Neuve-et-Labrador</a>"
25-Sep-20,TERRE-NEUVE-ET-LABRADOR,Économique - sanitaire,"Mesures concernant les travailleurs en rotation sur une épidémie identifiée de COVID-19 à la mine de charbon Teck à Elkford, en Colombie-Britannique de retour en Terre-Neuve-et-Labrador.","<a href=\""https://www.gov.nl.ca/releases/2020/health/0925n08/ \""> Gouvernement de Terre-Neuve-et-Labrador</a>"
14-Oct-20,TERRE-NEUVE-ET-LABRADOR,Économique,Supplément du FARR destiné à l’APECA versés aux petites et moyennes entreprises (PME) pour les aider à poursuivre leurs activités et à garder leurs employés et employées.,"<a href=\""https://www.canada.ca/fr/promotion-economique-canada-atlantique/nouvelles/2020/10/le-fonds-daide-et-de-relance-regionale-elargi-continue-a-soutenir-les-emplois-a-terre-neuve-et-labrador.html \""> Canada.ca</a>"
23-Nov-20,TERRE-NEUVE-ET-LABRADOR,Économique,"Appel à candidatures pour le nouveau programme de stimulation COVID-19 de 23,4 millions de dollars destiné aux collectivités .","<a href=\""https://www.gov.nl.ca/releases/2020/eccm/1123n03/ \""> Gouvernement de Terre-Neuve-et-Labrador</a>"
23-Nov-20,TERRE-NEUVE-ET-LABRADOR,Tourisme,Modifications temporaires au protocole de voyage de la bulle atlantique.,"<a href=\""https://www.gov.nl.ca/releases/2020/exec/1123n04/ \""> Gouvernement de Terre-Neuve-et-Labrador</a>"
25-Nov-20,TERRE-NEUVE-ET-LABRADOR,Tourisme ,Sommaire des exigences relatives aux voyages dans la province. ,"<a href=\""https://www.gov.nl.ca/covid-19/files/NL-Self-Isolating-November-25-2020.pdf \""> Gouvernement de Terre-Neuve-et-Labrador</a>"
25-Nov-20,TERRE-NEUVE-ET-LABRADOR,Santitaire,Mesure restrictive concernant les voyages.,"<a href=\""https://www.gov.nl.ca/covid-19/files/NL-Self-Isolating-November-25-2020.pdf\""> Gouvernement de Terre-Neuve-et-Labrador</a>"
28-Nov-20,TERRE-NEUVE-ET-LABRADOR,"Sanitaire 
",Déclaration de prolongement des mesures d'urgence.,"<a href=\""https://www.gov.nl.ca/covid-19/files/Declaration-of-Public-Health-Emergency-November-28-2020-Extension-17.pdf\""> Gouvernement de Terre-Neuve-et-Labrador</a>"
04-Dec-20,TERRE-NEUVE-ET-LABRADOR,Économique,"Soutien à des organismes provinciaux de sport pour soutenir leurs opérations annuelles, l'aide professionnelle et les projets de haute performance.",
07-Dec-20,TERRE-NEUVE-ET-LABRADOR,Économique,Financement accordé aux municipalités.,"<a href=\""https://www.gov.nl.ca/releases/2020/eccm/1207n02/ \""> Gouvernement de Terre-Neuve-et-Labrador</a>"
15-Dec-20,TERRE-NEUVE-ET-LABRADOR,Économique,Report au 22 décembre 2020 de la date limite du Programme d'aide aux petites entreprises.,"<a href=\""https://www.gov.nl.ca/releases/2020/fin/1215n10/ \""> Gouvernement de Terre-Neuve-et-Labrador</a>"
20-Mar,GROENLAND,Sanitaire ,"Recommendations concernant les vols jugés « non essentiels » à destination et en provenance du Groenland et les rassemblements publics de plus de cent personnes.
","<a href=\""https://www.tvanouvelles.ca/2020/03/16/meme-le-groenland-est-touche-par-la-covid-19 \""> TVA Nouvelles</a>"
29-Mar-20,GROENLAND,Sécuritaire,Interdiction de la vente d’alcool dans la capitale afin de lutter contre les violences domestiques et contre les abus sexuels.,"<a href=\""https://www.leparisien.fr/societe/coronavirus-le-groenland-interdit-la-vente-d-alcool-dans-sa-capitale-29-03-2020-8290098.php\""> Le Parisien</a>"
08-Apr-20,GROENLAND,Économique,Aide d'urgence aux compagnies minières. ,"<a href=\""https://www.globenewswire.com/news-release/2020/04/08/2013622/0/en/GREENLAND-GOVERNMENT-PROVIDES-RELIEF-TO-MINING-COMPANIES-IN-RESPONSE-TO-COVID-19.html\""> Globe News Wire</a>"
10-Apr-20,GROENLAND,Sécuritaire ,Mainteance des restrictions de circulation et de voyage.,"<a href=\""https://www.worldaware.com/covid-19-alert-greenland-continues-movement-travel-restrictions-through-april-30\""> World Aware</a>"
15-Apr-20,GROENLAND,Sanitaire ,Discussions autour d'un déconfinement.,"<a href=\""https://www.arctictoday.com/after-11-covid-19-infections-greenland-plans-to-slowly-reopen-nuuk/ \""> Arctic Today</a>"
23-Apr-20,GROENLAND,Économique ,Augmentation de l’aide financière aux entreprises qui gardent des employés sur leur liste de paie. ,"<a href=\""https://www.rcinet.ca/regard-sur-arctique/2020/04/23/carte-covid-19-soutien-financier-aux-entreprises-du-groenland-la-pm-finlandaise-en-isolation/ \""> RCINET</a>"
08-May-20,GROENLAND,Sanitaire,Introduction des exigences répétées de tests COVID-19 pour les voyageurs.,"<a href=\""https://www.arctictoday.com/unlike-nunavut-greenland-focuses-on-covid-19-tests-for-arriving-travellers/ \""> Artic Today</a>"
13-Aug-20,GROENLAND,Sanitaire,Changements apportés aux règles de COVID-19 pour les voyageurs d'Islande etdes îles Féroé.,"<a href=\""https://www.rcinet.ca/eye-on-the-arctic/2020/08/13/greenland-changes-covid-19-rules-for-travellers-from-iceland-faroe-islands/ \""> RCINET</a>"
26-Aug-20,GROENLAND,Sanitaire ,Changement stratégique pour éviter la propagation de la Covid-19 sur le territoire.,"<a href=\""https://www.rcinet.ca/eye-on-the-arctic/2020/08/26/greenland-approves-revised-covid-19-strategy/ \""> RCINET</a>"
27-Aug-20,GROENLAND,Sanitaire ,"Changement d'approche dans la lutte contre la maladie, qui se concentrera désormais sur la prévention de l'entrée du virus.","<a href=\""https://www.arctictoday.com/greenland-taking-long-term-approach-to-covid-19/ \""> Artic Today</a>"
01-Sep-20,GROENLAND,Sanitaire ,"Changement d'approche dans la lutte contre la maladie, qui se concentrera désormais sur la prévention de l'entrée du virus.","<a href=\""https://nunatsiaq.com/stories/article/greenland-is-taking-a-long-term-approach-to-battling-covid-19/ \""> NUNATSIAQ</a>"
21-Sep-20,GROENLAND,Sanitaire ,"Recommandations pour les voyageurs venant au Groenland depuis les municipalités dites ""rouges"", des endroits avec un taux d'infection élevé, au Danemark. ","<a href=\""https://www.rcinet.ca/eye-on-the-arctic/2020/09/21/greenland-reexamining-covid-19-rules-after-cases-surge-in-denmark/ \""> RCINET</a>"
28-Nov-20,GROENLAND,Sécuritaire ,Reconfinement partiel et présentation des restrictions en vigueur.,"<a href=\""https://partir.ouest-france.fr/groenland/covid-19 \""> Quand Partir</a>"